number,value,datetime_start,datetime_complete,duration,params_dropout_0,params_dropout_1,params_dropout_2,params_hidden_0,params_hidden_1,params_learning_rate,params_weight_decay,state
10,0.48396582754231443,2025-04-01 11:26:34.667413,2025-04-01 11:26:46.020657,0 days 00:00:11.353244,0.14519157184270026,0.11902391974969753,0.32862459192452675,397,256,0.004197961635630719,0.00014686252939115425,PRUNED
11,0.45953292508126076,2025-04-01 11:26:46.021411,2025-04-01 11:26:58.189232,0 days 00:00:12.167821,0.2758106291478052,0.12360629620131709,0.3546251324535979,429,288,0.0074629128225941295,0.0001470266830132597,PRUNED
12,0.48379840952780184,2025-04-01 11:26:58.189860,2025-04-01 11:27:10.793191,0 days 00:00:12.603331,0.15229510804170773,0.11633952775589498,0.46809594873655896,333,256,0.003549196286606364,0.00015462848658054804,PRUNED
13,0.7512948702003769,2025-04-01 11:27:10.793811,2025-04-01 11:27:25.204257,0 days 00:00:14.410446,0.24395320633148193,0.17636556514077234,0.31168006356966815,461,256,0.008148192861041894,0.00016667332888800718,COMPLETE
14,0.4568667885941633,2025-04-01 11:27:25.205052,2025-04-01 11:27:37.709625,0 days 00:00:12.504573,0.18986794513648675,0.22124852332919978,0.3675083816146893,493,256,0.00896149439465657,0.0001357475762238612,PRUNED
15,0.3656041036478398,2025-04-01 11:27:37.710355,2025-04-01 11:27:49.539652,0 days 00:00:11.829297,0.273022471914655,0.21027417744987525,0.34170254157043617,429,256,0.008149131319233381,0.00014601427845474052,PRUNED
16,0.4574304764017082,2025-04-01 11:27:49.540329,2025-04-01 11:28:00.899465,0 days 00:00:11.359136,0.2755278345723548,0.1699721588900743,0.31146490297864055,461,288,0.004615887314074119,0.00016142506423611876,PRUNED
17,0.6422627335457609,2025-04-01 11:28:00.900200,2025-04-01 11:28:13.334106,0 days 00:00:12.433906,0.1786652454235469,0.13046838564916607,0.3830740154570154,333,288,0.0024646276169725595,0.0001586219432049777,PRUNED
18,0.07778922085848838,2025-04-01 11:28:13.334781,2025-04-01 11:28:24.933280,0 days 00:00:11.598499,0.2642748891947387,0.19328402396820074,0.3261229190876677,493,320,0.008662411740556188,0.00010269093597948289,PRUNED
19,0.503585541113729,2025-04-01 11:28:24.934001,2025-04-01 11:28:36.328472,0 days 00:00:11.394471,0.22860628709584355,0.17697447985650833,0.32333649349800286,429,352,0.0077929672214889665,0.00017130777120935153,COMPLETE
20,0.7301857117060198,2025-04-01 11:28:36.329089,2025-04-01 11:28:49.287200,0 days 00:00:12.958111,0.18135083711815086,0.15754638638064264,0.3061376981625312,493,256,0.007921389440933029,0.00011693112270464374,PRUNED
21,0.4152299929470632,2025-04-01 11:28:49.287801,2025-04-01 11:29:00.629049,0 days 00:00:11.341248,0.2836756318095854,0.1407306282052106,0.31844102523466356,461,256,0.008636947353766413,0.00016965960838280614,PRUNED
22,0.7512011657895239,2025-04-01 11:29:00.629714,2025-04-01 11:29:13.831854,0 days 00:00:13.202140,0.19307847911904644,0.154815214785398,0.4011557177414968,333,256,0.006634241199971332,0.0001236226768650886,COMPLETE
